title;text_cleaning;title_preprocessing;target_class
Food & Spices (161010) (English, Spanish, French, Italian and German Edition);food spice english spanish french italian german edition;['food', 'spice', 'english', 'spanish', 'french', 'italian', 'german', 'edition'];general
Fantasticos Vehiculos Para La Construccion (Vehiculos En Accion / Vehicles on the Move) (Spanish Edition);fantasticos vehiculos para la construccion vehiculos en accion vehicle move spanish edition;['fantasticos', 'vehiculos', 'para', 'la', 'construccion', 'vehiculos', 'en', 'accion', 'vehicle', 'move', 'spanish', 'edition'];general
Approximate Justice;approximate justice;['approximate', 'justice'];general
Risk Management Handbook for Health Care Organizations;risk management handbook health care organization;['risk', 'management', 'handbook', 'health', 'care', 'organization'];sains-tech
The Baking Bible;baking bible;['baking', 'bible'];general
Microsoft Word 2002 Made Easy;microsoft word made easy;['microsoft', 'word', 'made', 'easy'];general
Bedeutung und Potenzial von Bitcoin als alternative Währung (German Edition);bedeutung und potenzial von bitcoin al alternative währung german edition;['bedeutung', 'und', 'potenzial', 'von', 'bitcoin', 'al', 'alternative', 'währung', 'german', 'edition'];general
The Human Side of Dyslexia: 142 Interviews with Real People Telling Real Stories About Their Coping Strategies with Dyslexia - Kindergarten through College;human side dyslexia interview real people telling real story coping strategy dyslexia kindergarten college;['human', 'side', 'dyslexia', 'interview', 'real', 'people', 'telling', 'real', 'story', 'coping', 'strategy', 'dyslexia', 'kindergarten', 'college'];social-humanaria
Lessons of Fairsized Creek: 12 Ways to Catch More Trout on the Fly (The Pruett Series);lesson fairsized creek way catch trout fly pruett series;['lesson', 'fairsized', 'creek', 'way', 'catch', 'trout', 'fly', 'pruett', 'series'];general
Moments Together for Couples Devotional Handouts;moment together couple devotional handout;['moment', 'together', 'couple', 'devotional', 'handout'];general
Tractors (Amazing Machines);tractor amazing machine;['tractor', 'amazing', 'machine'];sains-tech
Meteorology: Understanding the Atmosphere (Jones and Bartlett Titles in Physical Science);meteorology understanding atmosphere jones bartlett title physical science;['meteorology', 'understanding', 'atmosphere', 'jones', 'bartlett', 'title', 'physical', 'science'];sains-tech
The Cleveland Clinic Guide to Fibromyalgia (Cleveland Clinic Guides);cleveland clinic guide fibromyalgia cleveland clinic guide;['cleveland', 'clinic', 'guide', 'fibromyalgia', 'cleveland', 'clinic', 'guide'];sains-tech
The Murder of Emmett Till (The Civil Rights Movement);murder emmett till civil right movement;['murder', 'emmett', 'till', 'civil', 'right', 'movement'];general
How to Grow More Vegetables, Eighth Edition: (and Fruits, Nuts, Berries, Grains, and Other Crops) Than You Ever Thought Possible on Less Land Than You ... (And Fruits, Nuts, Berries, Grains,);grow vegetable eighth edition fruit nut berry grain crop ever thought possible le land fruit nut berry grain;['grow', 'vegetable', 'eighth', 'edition', 'fruit', 'nut', 'berry', 'grain', 'crop', 'ever', 'thought', 'possible', 'le', 'land', 'fruit', 'nut', 'berry', 'grain'];general
Island at the End of the World: The Turbulent History of Easter Island;island end world turbulent history easter island;['island', 'end', 'world', 'turbulent', 'history', 'easter', 'island'];social-humanaria
The Great Thoughts, From Abelard to Zola, from Ancient Greece to Contemporary America, the Ideas that have Shaped the History of the World;great thought abelard zola ancient greece contemporary america idea shaped history world;['great', 'thought', 'abelard', 'zola', 'ancient', 'greece', 'contemporary', 'america', 'idea', 'shaped', 'history', 'world'];social-humanaria
The Twelve Days of Christmas;twelve day christmas;['twelve', 'day', 'christmas'];general
Making an Impression: Designing & Creating Artful Stamps;making impression designing creating artful stamp;['making', 'impression', 'designing', 'creating', 'artful', 'stamp'];social-humanaria
Mysteries of the Raj: The Mythos Stalks the Indian Subcontinent (M.U. Library Assn. monograph, Call of Cthulhu #0391);mystery raj mythos stalk indian subcontinent mu library assn monograph call cthulhu;['mystery', 'raj', 'mythos', 'stalk', 'indian', 'subcontinent', 'mu', 'library', 'assn', 'monograph', 'call', 'cthulhu'];general
Is it Safe to Eat?: Enjoy Eating and Minimize Food Risks;safe eat enjoy eating minimize food risk;['safe', 'eat', 'enjoy', 'eating', 'minimize', 'food', 'risk'];sains-tech
Forensics Duo Series Volume 4: Duo Practice and Competition Thirty-five 8-10 Minute Original Dramatic Plays for Two Females;forensics duo series volume duo practice competition thirtyfive minute original dramatic play two female;['forensics', 'duo', 'series', 'volume', 'duo', 'practice', 'competition', 'thirtyfive', 'minute', 'original', 'dramatic', 'play', 'two', 'female'];sains-tech
Making Toys That Teach: With Step-by-Step Instructions and Plans;making toy teach stepbystep instruction plan;['making', 'toy', 'teach', 'stepbystep', 'instruction', 'plan'];general
Before the Next Bomb Drops: Rising Up from Brooklyn to Palestine;next bomb drop rising brooklyn palestine;['next', 'bomb', 'drop', 'rising', 'brooklyn', 'palestine'];general
Who's Your City?: How the Creative Economy Is Making Where to Live the Most Important Decision of Your Life;who city creative economy making live important decision life;['who', 'city', 'creative', 'economy', 'making', 'live', 'important', 'decision', 'life'];general
Hockey Confidential: Inside Stories from People Inside The Game;hockey confidential inside story people inside game;['hockey', 'confidential', 'inside', 'story', 'people', 'inside', 'game'];general
Low Voltage Wiring: Security/Fire Alarm Systems;low voltage wiring securityfire alarm system;['low', 'voltage', 'wiring', 'securityfire', 'alarm', 'system'];general
Double Cross (FBI: Houston);double cross fbi houston;['double', 'cross', 'fbi', 'houston'];general
The Eight;eight;['eight'];general
Law of Medical Malpractice (Oceana's Legal Almanac. Law for the Layperson);law medical malpractice oceanas legal almanac law layperson;['law', 'medical', 'malpractice', 'oceanas', 'legal', 'almanac', 'law', 'layperson'];sains-tech
Earth Medicine, Earth Food;earth medicine earth food;['earth', 'medicine', 'earth', 'food'];sains-tech
AD Skyraider Units of the Korean War (Combat Aircraft);ad skyraider unit korean war combat aircraft;['ad', 'skyraider', 'unit', 'korean', 'war', 'combat', 'aircraft'];social-humanaria
Willow the Walrus-Educating Children about Down Syndrome;willow walruseducating child syndrome;['willow', 'walruseducating', 'child', 'syndrome'];sains-tech
Babylon's Ark: The Incredible Wartime Rescue of the Baghdad Zoo;babylon ark incredible wartime rescue baghdad zoo;['babylon', 'ark', 'incredible', 'wartime', 'rescue', 'baghdad', 'zoo'];social-humanaria
Gego: Line as Object;gego line object;['gego', 'line', 'object'];general
Have You Seen My Cat?: A Slide-and-Peek Board Book (The World of Eric Carle);seen cat slideandpeek board book world eric carle;['seen', 'cat', 'slideandpeek', 'board', 'book', 'world', 'eric', 'carle'];general
His Holiness Maharishi Mahesh Yogi's Translation of the Bhagavad-Gita, Chapters 1-6, in the light of Maharishi's Transcendental Meditation: Scientific Research Results;holiness maharishi mahesh yogi translation bhagavadgita chapter light maharishis transcendental meditation scientific research result;['holiness', 'maharishi', 'mahesh', 'yogi', 'translation', 'bhagavadgita', 'chapter', 'light', 'maharishis', 'transcendental', 'meditation', 'scientific', 'research', 'result'];social-humanaria
Technological Revolutions and Financial Capital: The Dynamics of Bubbles and Golden Ages;technological revolution financial capital dynamic bubble golden age;['technological', 'revolution', 'financial', 'capital', 'dynamic', 'bubble', 'golden', 'age'];sains-tech
Navy SEALs and Their Unabashed Humor: Unfiltered, Uncensored and Unhinged;navy seal unabashed humor unfiltered uncensored unhinged;['navy', 'seal', 'unabashed', 'humor', 'unfiltered', 'uncensored', 'unhinged'];general
2014 ICD-10-PCS Draft Edition, 1e;icdpcs draft edition e;['icdpcs', 'draft', 'edition', 'e'];sains-tech
Ten Dates Every Catholic Should Know: The Divine Surprises and Chastisements That Shaped the Church and Changed the World;ten date every catholic know divine surprise chastisement shaped church changed world;['ten', 'date', 'every', 'catholic', 'know', 'divine', 'surprise', 'chastisement', 'shaped', 'church', 'changed', 'world'];general
The Public Domain: Enclosing the Commons of the Mind;public domain enclosing common mind;['public', 'domain', 'enclosing', 'common', 'mind'];general
Love Stage!!, Vol. 4;love stage vol;['love', 'stage', 'vol'];general
Fa La La (Leslie Patricelli board books);fa la la leslie patricelli board book;['fa', 'la', 'la', 'leslie', 'patricelli', 'board', 'book'];sains-tech
Strategic Risk Taking: A Framework for Risk Management (paperback);strategic risk taking framework risk management paperback;['strategic', 'risk', 'taking', 'framework', 'risk', 'management', 'paperback'];sains-tech
Careless Love: The Unmaking of Elvis Presley;careless love unmaking elvis presley;['careless', 'love', 'unmaking', 'elvis', 'presley'];general
Introduction to MATLAB for Engineers;introduction matlab engineer;['introduction', 'matlab', 'engineer'];general
The Hoarder in You: How to Live a Happier, Healthier, Uncluttered Life;hoarder live happier healthier uncluttered life;['hoarder', 'live', 'happier', 'healthier', 'uncluttered', 'life'];sains-tech
Un buen hijo de p...: Una fábula (Spanish Edition);un buen hijo de p una fábula spanish edition;['un', 'buen', 'hijo', 'de', 'p', 'una', 'fábula', 'spanish', 'edition'];general
Stepping Out of Self-Deception: The Buddha's Liberating Teaching of No-Self;stepping selfdeception buddha liberating teaching noself;['stepping', 'selfdeception', 'buddha', 'liberating', 'teaching', 'noself'];general
Beautiful Stranger;beautiful stranger;['beautiful', 'stranger'];general
The Octopus and the Orangutan: More True Tales of Animal Intrigue, Intelligence, and Ingenuity;octopus orangutan true tale animal intrigue intelligence ingenuity;['octopus', 'orangutan', 'true', 'tale', 'animal', 'intrigue', 'intelligence', 'ingenuity'];general
Biostatistics and Epidemiology: A Primer for Health and Biomedical Professionals;biostatistics epidemiology primer health biomedical professional;['biostatistics', 'epidemiology', 'primer', 'health', 'biomedical', 'professional'];sains-tech
Cee Lo Green: Rapper, Singer, & Record Producer (Contemporary Lives);cee lo green rapper singer record producer contemporary life;['cee', 'lo', 'green', 'rapper', 'singer', 'record', 'producer', 'contemporary', 'life'];general
The Best Used Boat Notebook: From the Pages of Sailing Mazine, a New Collection of Detailed Reviews of 40 Used Boats plus a Look at 10 Great Used Boats to Sail Around the World;best used boat notebook page sailing mazine new collection detailed review used boat plus look great used boat sail around world;['best', 'used', 'boat', 'notebook', 'page', 'sailing', 'mazine', 'new', 'collection', 'detailed', 'review', 'used', 'boat', 'plus', 'look', 'great', 'used', 'boat', 'sail', 'around', 'world'];general
The Penguin Dictionary of Symbols (Dictionary, Penguin);penguin dictionary symbol dictionary penguin;['penguin', 'dictionary', 'symbol', 'dictionary', 'penguin'];general
Nanoindentation (Mechanical Engineering Series);nanoindentation mechanical engineering series;['nanoindentation', 'mechanical', 'engineering', 'series'];sains-tech
Age-Defying Beauty Secrets: Look and Feel Younger Each and Every Day;agedefying beauty secret look feel younger every day;['agedefying', 'beauty', 'secret', 'look', 'feel', 'younger', 'every', 'day'];general
The Food of Vietnam: Authentic Recipes from the Heart of Indochina;food vietnam authentic recipe heart indochina;['food', 'vietnam', 'authentic', 'recipe', 'heart', 'indochina'];social-humanaria
Endowed from on High: Understanding the Symbols of the Endowment;endowed high understanding symbol endowment;['endowed', 'high', 'understanding', 'symbol', 'endowment'];general
An Historical Atlas of Early Oregon;historical atlas early oregon;['historical', 'atlas', 'early', 'oregon'];social-humanaria
Veterans: Heroes in Our Neighborhood;veteran hero neighborhood;['veteran', 'hero', 'neighborhood'];general
The Book of Little Hostas: 200 Small, Very Small, and Mini Varieties;book little hosta small small mini variety;['book', 'little', 'hosta', 'small', 'small', 'mini', 'variety'];general
The Reciprocating Self: Human Development in Theological Perspective;reciprocating self human development theological perspective;['reciprocating', 'self', 'human', 'development', 'theological', 'perspective'];sains-tech
All I Know Now: Wonderings and Advice on Making Friends, Making Mistakes, Falling in (and out of) Love, and Other Adventures in Growing Up Hopefully;know wonderings advice making friend making mistake falling love adventure growing hopefully;['know', 'wonderings', 'advice', 'making', 'friend', 'making', 'mistake', 'falling', 'love', 'adventure', 'growing', 'hopefully'];general
Basics Photography 04: Post Production Black & White (Basics Photography 1);basic photography post production black white basic photography;['basic', 'photography', 'post', 'production', 'black', 'white', 'basic', 'photography'];general
The New Media Reader;new medium reader;['new', 'medium', 'reader'];general
Medicare For Dummies;medicare dummy;['medicare', 'dummy'];sains-tech
The Dictator's Handbook: Why Bad Behavior is Almost Always Good Politics;dictator handbook bad behavior almost always good politics;['dictator', 'handbook', 'bad', 'behavior', 'almost', 'always', 'good', 'politics'];social-humanaria
International Accounting;international accounting;['international', 'accounting'];general
Line: Tying It Up, Tying It Down;line tying tying;['line', 'tying', 'tying'];general
My Twins' First Birthday;twin first birthday;['twin', 'first', 'birthday'];general
Selected Solutions Manual for Chemistry: A Molecular Approach;selected solution manual chemistry molecular approach;['selected', 'solution', 'manual', 'chemistry', 'molecular', 'approach'];sains-tech
Trade Winds On the Niger: The Saga of the Royal Niger Company 1830-1971;trade wind niger saga royal niger company;['trade', 'wind', 'niger', 'saga', 'royal', 'niger', 'company'];general
The First Year: Scleroderma: An Essential Guide for the Newly Diagnosed;first year scleroderma essential guide newly diagnosed;['first', 'year', 'scleroderma', 'essential', 'guide', 'newly', 'diagnosed'];general
Blood Wicked;blood wicked;['blood', 'wicked'];general
A French-Canadian Style  Thanksgiving Day Brunch Menu;frenchcanadian style thanksgiving day brunch menu;['frenchcanadian', 'style', 'thanksgiving', 'day', 'brunch', 'menu'];general
Pay-Per-Click Search Engine Marketing: An Hour a Day;payperclick search engine marketing hour day;['payperclick', 'search', 'engine', 'marketing', 'hour', 'day'];social-humanaria
Journey to Star Wars: The Force Awakens Smuggler's Run: A Han Solo Adventure (Star Wars: Journey to Star Wars: the Force Awakens);journey star war force awakens smuggler run han solo adventure star war journey star war force awakens;['journey', 'star', 'war', 'force', 'awakens', 'smuggler', 'run', 'han', 'solo', 'adventure', 'star', 'war', 'journey', 'star', 'war', 'force', 'awakens'];social-humanaria
Eichmann in Jerusalem: A Report on the Banality of Evil;eichmann jerusalem report banality evil;['eichmann', 'jerusalem', 'report', 'banality', 'evil'];social-humanaria
Polymer Clay Gemstones: The Art of Deception;polymer clay gemstone art deception;['polymer', 'clay', 'gemstone', 'art', 'deception'];social-humanaria
Maltese Puppies 2016 Mini 7x7 (Multilingual Edition);maltese puppy mini x multilingual edition;['maltese', 'puppy', 'mini', 'x', 'multilingual', 'edition'];general
Rsmeans Contractors's Pricing Guide Residential Repair & Remodeling: Cpg R&r (Means Residential Repair & Remodeling Costs);rsmeans contractor pricing guide residential repair remodeling cpg rr mean residential repair remodeling cost;['rsmeans', 'contractor', 'pricing', 'guide', 'residential', 'repair', 'remodeling', 'cpg', 'rr', 'mean', 'residential', 'repair', 'remodeling', 'cost'];general
Amazon Private Label: The Ultimate FBA Guide to Amazon Private Label Sales;amazon private label ultimate fba guide amazon private label sale;['amazon', 'private', 'label', 'ultimate', 'fba', 'guide', 'amazon', 'private', 'label', 'sale'];social-humanaria
Kniga Urantii (Russian Edition);kniga urantii russian edition;['kniga', 'urantii', 'russian', 'edition'];general
The Moody Atlas of Bible Lands ([ACSM Map Design Competition Collection) by Beitzel, Barry J. (1985) Hardcover;moody atlas bible land acsm map design competition collection beitzel barry j hardcover;['moody', 'atlas', 'bible', 'land', 'acsm', 'map', 'design', 'competition', 'collection', 'beitzel', 'barry', 'j', 'hardcover'];social-humanaria
Precision Pool, 2nd Edition;precision pool nd edition;['precision', 'pool', 'nd', 'edition'];general
Tainted (G Street Chronicles Presents);tainted g street chronicle present;['tainted', 'g', 'street', 'chronicle', 'present'];general
A curious nuisance: (Flentonsie);curious nuisance flentonsie;['curious', 'nuisance', 'flentonsie'];general
Margaret Atwood's the Handmaid's Tale (Bloom's Modern Critical Interpretations);margaret atwoods handmaid tale bloom modern critical interpretation;['margaret', 'atwoods', 'handmaid', 'tale', 'bloom', 'modern', 'critical', 'interpretation'];general
Clifton's and Clifford Clinton: A Cafeteria and a Crusader;cliftons clifford clinton cafeteria crusader;['cliftons', 'clifford', 'clinton', 'cafeteria', 'crusader'];general
Built for Sex: The Complete Fitness and Nutrition Program for Maximum Performance;built sex complete fitness nutrition program maximum performance;['built', 'sex', 'complete', 'fitness', 'nutrition', 'program', 'maximum', 'performance'];general
Quality Control and Production of Biological Control Agents: Theory and Testing Procedures (Cabi);quality control production biological control agent theory testing procedure cabi;['quality', 'control', 'production', 'biological', 'control', 'agent', 'theory', 'testing', 'procedure', 'cabi'];general
Katzung & Trevor's Pharmacology Examination and Board Review,11th Edition (Katzung & Trevor's Pharmacology Examination & Board Review);katzung trevors pharmacology examination board reviewth edition katzung trevors pharmacology examination board review;['katzung', 'trevors', 'pharmacology', 'examination', 'board', 'reviewth', 'edition', 'katzung', 'trevors', 'pharmacology', 'examination', 'board', 'review'];general
Celebrating Chinese New Year;celebrating chinese new year;['celebrating', 'chinese', 'new', 'year'];general
Study Guide for Lehne's Pharmacology for Nursing Care, 9e;study guide lehnes pharmacology nursing care e;['study', 'guide', 'lehnes', 'pharmacology', 'nursing', 'care', 'e'];sains-tech
Mike Lawrence's Workbook on the Two Over One System;mike lawrence workbook two one system;['mike', 'lawrence', 'workbook', 'two', 'one', 'system'];social-humanaria
Make Your Own Creepy Halloween Food: Recipes to Gross You Out this Halloween!;make creepy halloween food recipe gross halloween;['make', 'creepy', 'halloween', 'food', 'recipe', 'gross', 'halloween'];general
Commercial General Liability Coverage Guide (Commercial Lines);commercial general liability coverage guide commercial line;['commercial', 'general', 'liability', 'coverage', 'guide', 'commercial', 'line'];general
Practical Algorithms in Pediatric Endocrinology: (Practical Algorithms in Pediatrics. Series Editor: Z. Hochberg);practical algorithm pediatric endocrinology practical algorithm pediatrics series editor z hochberg;['practical', 'algorithm', 'pediatric', 'endocrinology', 'practical', 'algorithm', 'pediatrics', 'series', 'editor', 'z', 'hochberg'];general
Understanding Interpersonal Communication: Making Choices in Changing Times;understanding interpersonal communication making choice changing time;['understanding', 'interpersonal', 'communication', 'making', 'choice', 'changing', 'time'];general
The Hunger Games Companion: The Unauthorized Guide to the Series;hunger game companion unauthorized guide series;['hunger', 'game', 'companion', 'unauthorized', 'guide', 'series'];general
The Templars: The History and the Myth: From Solomon's Temple to the Freemasons;templar history myth solomon temple freemason;['templar', 'history', 'myth', 'solomon', 'temple', 'freemason'];social-humanaria
World History in Documents: A Comparative Reader;world history document comparative reader;['world', 'history', 'document', 'comparative', 'reader'];social-humanaria
Discovery Channel The Big Book of Sharks;discovery channel big book shark;['discovery', 'channel', 'big', 'book', 'shark'];general
All Kinds of Kisses;kind kiss;['kind', 'kiss'];general
World War II Partisan Warfare in Italy (Elite);world war ii partisan warfare italy elite;['world', 'war', 'ii', 'partisan', 'warfare', 'italy', 'elite'];social-humanaria
Low Protein Cookery for Phenylketonuria;low protein cookery phenylketonuria;['low', 'protein', 'cookery', 'phenylketonuria'];general
Kenyatta's Escape (Holloway House Originals);kenyattas escape holloway house original;['kenyattas', 'escape', 'holloway', 'house', 'original'];general
Calm My Anxious Heart: A Woman's Guide to Finding Contentment (TH1NK Reference Collection);calm anxious heart woman guide finding contentment thnk reference collection;['calm', 'anxious', 'heart', 'woman', 'guide', 'finding', 'contentment', 'thnk', 'reference', 'collection'];social-humanaria
Batman: The Court of Owls Mask and Book Set (The New 52) (Batman: the New 52);batman court owl mask book set new batman new;['batman', 'court', 'owl', 'mask', 'book', 'set', 'new', 'batman', 'new'];general
The Star Wars Super Collector's Wish Book;star war super collector wish book;['star', 'war', 'super', 'collector', 'wish', 'book'];social-humanaria
Private Security and the Law, Fourth Edition;private security law fourth edition;['private', 'security', 'law', 'fourth', 'edition'];social-humanaria
Waiting in Wonder: Growing in Faith While You're Expecting;waiting wonder growing faith youre expecting;['waiting', 'wonder', 'growing', 'faith', 'youre', 'expecting'];general
Old Yeller (Perennial Classics);old yeller perennial classic;['old', 'yeller', 'perennial', 'classic'];general
Exam Ref 70-332 Advanced Solutions of Microsoft SharePoint Server 2013 (MCSE);exam ref advanced solution microsoft sharepoint server mcse;['exam', 'ref', 'advanced', 'solution', 'microsoft', 'sharepoint', 'server', 'mcse'];general
Denver Demon Two: Secrets of Sin;denver demon two secret sin;['denver', 'demon', 'two', 'secret', 'sin'];general
Urban Carnivores: Ecology, Conflict, and Conservation;urban carnivore ecology conflict conservation;['urban', 'carnivore', 'ecology', 'conflict', 'conservation'];general
Legal Aspects Of Health Care Administration;legal aspect health care administration;['legal', 'aspect', 'health', 'care', 'administration'];sains-tech
The Extra Virgin Kitchen: Recipes for Wheat-Free, Sugar-Free and Dairy-Free Eating;extra virgin kitchen recipe wheatfree sugarfree dairyfree eating;['extra', 'virgin', 'kitchen', 'recipe', 'wheatfree', 'sugarfree', 'dairyfree', 'eating'];general
Bridal Bargains, 9th Edition: Secrets to Throwing a Fantastic Wedding on a Realistic Budget (Bridal Bargains: Secrets to Throwing a Fantastic Wedding on a Realistic Budget);bridal bargain th edition secret throwing fantastic wedding realistic budget bridal bargain secret throwing fantastic wedding realistic budget;['bridal', 'bargain', 'th', 'edition', 'secret', 'throwing', 'fantastic', 'wedding', 'realistic', 'budget', 'bridal', 'bargain', 'secret', 'throwing', 'fantastic', 'wedding', 'realistic', 'budget'];general
Bob Marley: Musician (Black Americans of Achievement);bob marley musician black american achievement;['bob', 'marley', 'musician', 'black', 'american', 'achievement'];general
Ephesian Commentary;ephesian commentary;['ephesian', 'commentary'];general
Curious George Feeds the Animals Book & CD (Read Along Book & CD);curious george feed animal book cd read along book cd;['curious', 'george', 'feed', 'animal', 'book', 'cd', 'read', 'along', 'book', 'cd'];sains-tech
Unconscious Scoring: Dave Stockton's Guide to Saving Shots Around the Green;unconscious scoring dave stockton guide saving shot around green;['unconscious', 'scoring', 'dave', 'stockton', 'guide', 'saving', 'shot', 'around', 'green'];general
Killer Colas: The Hard Truth About Soft Drinks;killer cola hard truth soft drink;['killer', 'cola', 'hard', 'truth', 'soft', 'drink'];general
How To Start A Rap Record Label: A Must Read Guide to Starting a Hip Hop and Rap Record Label;start rap record label must read guide starting hip hop rap record label;['start', 'rap', 'record', 'label', 'must', 'read', 'guide', 'starting', 'hip', 'hop', 'rap', 'record', 'label'];social-humanaria
The Origins and Development of Classical Hinduism (Oxford India Paperbacks);origin development classical hinduism oxford india paperback;['origin', 'development', 'classical', 'hinduism', 'oxford', 'india', 'paperback'];sains-tech
Sailing Tall Boats 2014 (What a Wonderful World);sailing tall boat wonderful world;['sailing', 'tall', 'boat', 'wonderful', 'world'];general
Mikhail Bakunin: The Philosophical Basis of His Anarchism;mikhail bakunin philosophical basis anarchism;['mikhail', 'bakunin', 'philosophical', 'basis', 'anarchism'];sains-tech
Collectors Encyclopedia of California Pottery, 2nd Edition;collector encyclopedia california pottery nd edition;['collector', 'encyclopedia', 'california', 'pottery', 'nd', 'edition'];general
A Prairie Home Companion: The 2nd Annual Farewell Performance;prairie home companion nd annual farewell performance;['prairie', 'home', 'companion', 'nd', 'annual', 'farewell', 'performance'];general
U.S. International Investment Agreements;u international investment agreement;['u', 'international', 'investment', 'agreement'];general
Out on Foot: Nightly Patrols and Ghostly Tales of a U.S. Border Patrol Agent;foot nightly patrol ghostly tale u border patrol agent;['foot', 'nightly', 'patrol', 'ghostly', 'tale', 'u', 'border', 'patrol', 'agent'];general
Birds of Belize (Corrie Herring Hooks Series);bird belize corrie herring hook series;['bird', 'belize', 'corrie', 'herring', 'hook', 'series'];general
Thai Street Food;thai street food;['thai', 'street', 'food'];general
The Art and Business of Speech Recognition: Creating the Noble Voice;art business speech recognition creating noble voice;['art', 'business', 'speech', 'recognition', 'creating', 'noble', 'voice'];social-humanaria
Pharmacology Made Insanely Easy;pharmacology made insanely easy;['pharmacology', 'made', 'insanely', 'easy'];sains-tech
Resistance, Repression, and Gender Politics in Occupied Palestine and Jordan (Gender, Culture, and Politics in the Middle East);resistance repression gender politics occupied palestine jordan gender culture politics middle east;['resistance', 'repression', 'gender', 'politics', 'occupied', 'palestine', 'jordan', 'gender', 'culture', 'politics', 'middle', 'east'];social-humanaria
Merriam-Webster's Elementary Dictionary;merriamwebsters elementary dictionary;['merriamwebsters', 'elementary', 'dictionary'];general
Where Trust Lies (Return to the Canadian West);trust lie return canadian west;['trust', 'lie', 'return', 'canadian', 'west'];general
Furies of Calderon (Codex Alera, Book 1);fury calderon codex alera book;['fury', 'calderon', 'codex', 'alera', 'book'];general
Sidewalks;sidewalk;['sidewalk'];general
On My Journey Now: Looking at African-American History Through the Spirituals;journey looking africanamerican history spiritual;['journey', 'looking', 'africanamerican', 'history', 'spiritual'];social-humanaria
Portfolio: The Complete Various Drawings;portfolio complete various drawing;['portfolio', 'complete', 'various', 'drawing'];general
Intermolecular and Surface Forces, Third Edition: Revised Third Edition;intermolecular surface force third edition revised third edition;['intermolecular', 'surface', 'force', 'third', 'edition', 'revised', 'third', 'edition'];general
Big Hair: A Journey Into the Transformation of Self.;big hair journey transformation self;['big', 'hair', 'journey', 'transformation', 'self'];general
Our Family Tree: A History of Our Family;family tree history family;['family', 'tree', 'history', 'family'];social-humanaria
Cooking in Cast Iron;cooking cast iron;['cooking', 'cast', 'iron'];general
Hazardous Laboratory Chemicals Disposal Guide, Third Edition;hazardous laboratory chemical disposal guide third edition;['hazardous', 'laboratory', 'chemical', 'disposal', 'guide', 'third', 'edition'];general
Dear Birthmother;dear birthmother;['dear', 'birthmother'];general
Tree For All Seasons (Avenues);tree season avenue;['tree', 'season', 'avenue'];general
New York Real Estate for Brokers;new york real estate broker;['new', 'york', 'real', 'estate', 'broker'];general
Distributed Algorithms: An Intuitive Approach;distributed algorithm intuitive approach;['distributed', 'algorithm', 'intuitive', 'approach'];general
Work in the 21st Century: An Introduction to Industrial and Organizational Psychology;work st century introduction industrial organizational psychology;['work', 'st', 'century', 'introduction', 'industrial', 'organizational', 'psychology'];sains-tech
PSAT Prep PSAT Study Guide 2016 for the New PSAT Exam (with Practice Tests);psat prep psat study guide new psat exam practice test;['psat', 'prep', 'psat', 'study', 'guide', 'new', 'psat', 'exam', 'practice', 'test'];general
The Demon's Sermon on the Martial Arts: And Other Tales;demon sermon martial art tale;['demon', 'sermon', 'martial', 'art', 'tale'];social-humanaria
Lady Fatima Masuma of Qum;lady fatima masuma qum;['lady', 'fatima', 'masuma', 'qum'];general
Grande Illusions: Books I & II;grande illusion book ii;['grande', 'illusion', 'book', 'ii'];general
Day of the Dead: Día de Muertos;day dead día de muertos;['day', 'dead', 'día', 'de', 'muertos'];general
Charming the Prince;charming prince;['charming', 'prince'];general
Moses;moses;['moses'];general
Texas Rangers;texas ranger;['texas', 'ranger'];general
Zozzy and Baz Rescue a Dog (The Adventures of Zozzy and Baz...and Sissy Too.) (Volume 1);zozzy baz rescue dog adventure zozzy bazand sissy volume;['zozzy', 'baz', 'rescue', 'dog', 'adventure', 'zozzy', 'bazand', 'sissy', 'volume'];general
Reinterpreting a Native American Identity: Examining the Lumbee through the Peoplehood Model;reinterpreting native american identity examining lumbee peoplehood model;['reinterpreting', 'native', 'american', 'identity', 'examining', 'lumbee', 'peoplehood', 'model'];sains-tech
The Banks Sisters;bank sister;['bank', 'sister'];general
Patterns for College Writing: A Rhetorical Reader and Guide, 12th Edition;pattern college writing rhetorical reader guide th edition;['pattern', 'college', 'writing', 'rhetorical', 'reader', 'guide', 'th', 'edition'];general
Fundamentals of Periodontics;fundamental periodontics;['fundamental', 'periodontics'];sains-tech
Mathematical Methods in Kinetic Theory;mathematical method kinetic theory;['mathematical', 'method', 'kinetic', 'theory'];sains-tech
Phoenix Wright: Ace Attorney 3;phoenix wright ace attorney;['phoenix', 'wright', 'ace', 'attorney'];social-humanaria
Quick & Easy Paleo Comfort Foods: 100+ Delicious Gluten-Free Recipes;quick easy paleo comfort food delicious glutenfree recipe;['quick', 'easy', 'paleo', 'comfort', 'food', 'delicious', 'glutenfree', 'recipe'];general
Rabbit Care: How to Care for a Rabbit;rabbit care care rabbit;['rabbit', 'care', 'care', 'rabbit'];general
Dragons of Autumn Twilight (Dragonlance Chronicles, Volume I);dragon autumn twilight dragonlance chronicle volume;['dragon', 'autumn', 'twilight', 'dragonlance', 'chronicle', 'volume'];general
