title,author,google_id,recommender,recommender_count,category,publication_date,pages,image,url_image,Unnamed: 4,target_class
Inhuman Bondage: The Rise and Fall of Slavery in the New World,,195339444,,12,History,,,0195339444.jpg,http://ecx.images-amazon.com/images/I/515Pj0NzGIL.jpg,David Brion Davis,social-humanaria
Mentally Tough Teens: Developing a Winning Mindset,,1462114253,,27,Teen & Young Adult,,,1462114253.jpg,http://ecx.images-amazon.com/images/I/51MZZc434wL.jpg,Justin Su'a,sains-tech
Ivy Global ISEE Quick Review,,1942321813,,28,Test Preparation,,,1942321813.jpg,http://ecx.images-amazon.com/images/I/31y5jNwfqfL.jpg,Ivy Global,general
The Foolish Tortoise (The World of Eric Carle),,1481435779,,4,Children's Books,,,1481435779.jpg,http://ecx.images-amazon.com/images/I/518ueway3UL.jpg,Richard Buckley,general
The Justices and Injustices of Ecosystem Services,,415825393,,23,Science & Math,,,0415825393.jpg,http://ecx.images-amazon.com/images/I/41mlzaKk3SL.jpg,,general
Digital Rights Management: Business and Technology,,764548891,,14,Law,,,0764548891.jpg,http://ecx.images-amazon.com/images/I/51v2h2LW4IL.jpg,Bill Rosenblatt,sains-tech
CyberLaw: Text and Cases,,053847744X,,6,Computers & Technology,,,053847744X.jpg,http://ecx.images-amazon.com/images/I/51421cJvVOL.jpg,Robert Bird,social-humanaria
Technical Sourcebook for Designers,,1609018567,,0,Arts & Photography,,,1609018567.jpg,http://ecx.images-amazon.com/images/I/51cfcuzjYeL.jpg,Jaeil Lee,social-humanaria
The Boundless,,1442472898,,4,Children's Books,,,1442472898.jpg,http://ecx.images-amazon.com/images/I/51XVec8OLtL.jpg,Kenneth Oppel,general
Dreams of the Soul: The Yogi Sutras of Patanjali,,944386113,,21,Religion & Spirituality,,,0944386113.jpg,http://ecx.images-amazon.com/images/I/41ZMDRHPXZL.jpg,Daniel R. Condron,general
The Unofficial Guide to Ethnic Cuisine and Dining in America,,28600673,,29,Travel,,,0028600673.jpg,http://ecx.images-amazon.com/images/I/513A2767lFL.jpg,Eve Zibart,general
"Pharmacology, 3rd Edition",,133045994,,16,Medical Books,,,0133045994.jpg,http://ecx.images-amazon.com/images/I/51Bfzk2TrPL.jpg,MaryAnn Hogan,general
Oxford Textbook of Palliative Nursing,,195391349,,25,Self-Help,,,0195391349.jpg,http://ecx.images-amazon.com/images/I/41cVQ9qBB%2BL.jpg,Betty R. Ferrell and Nessa Coyle,general
The Teammates: A Portrait of a Friendship,,786888679,,1,Biographies & Memoirs,,,0786888679.jpg,http://ecx.images-amazon.com/images/I/51LNJ-UbgJL.jpg,David Halberstam,general
Understanding Interest Rate Swaps,,70390207,,2,Business & Money,,,0070390207.jpg,http://ecx.images-amazon.com/images/I/516ASnaDg2L.jpg,Mary Ludwig,general
The Best of Boys' Life: For All Boys- Celebrating the Centenary of the Founding of the Boy Scouts of America,,1599219921,,13,Humor & Entertainment,,,1599219921.jpg,http://ecx.images-amazon.com/images/I/51115loNP%2BL.jpg,Boy Scouts of America,general
"Questions from the Heart: Answers to 100 Questions About Chelation Therapy, a Safe Alternative to Bypass Surgery",,1571740260,,11,"Health, Fitness & Dieting",,,1571740260.jpg,http://ecx.images-amazon.com/images/I/41Y7MJGXHZL.jpg,Terry Chappell,social-humanaria
Watch Repairing as a Hobby: An Essential Guide for Non-Professionals,,1616086459,,8,"Crafts, Hobbies & Home",,,1616086459.jpg,http://ecx.images-amazon.com/images/I/51BHQQIDKYL.jpg,D W. Fletcher,general
Lonely Planet Portuguese Phrasebook & Dictionary (Lonely Planet Phrasebook: Portuguese),,1741047404,,29,Travel,,,1741047404.jpg,http://ecx.images-amazon.com/images/I/51gJXli3hiL.jpg,Lonely Planet,general
"Born of Fire (The League, Book 2)",,312942311,,22,Romance,,,0312942311.jpg,http://ecx.images-amazon.com/images/I/519n4iesgPL.jpg,Sherrilyn Kenyon,general
Do Your Own California Adoption: Nolo's Guide for Stepparents and Domestic Partners,,873379381,,14,Law,,,0873379381.jpg,http://ecx.images-amazon.com/images/I/51mB-4-pKjL.jpg,Frank Zagone,social-humanaria
Understanding Medical Coding: A Comprehensive Guide,,1418010448,,16,Medical Books,,,1418010448.jpg,http://ecx.images-amazon.com/images/I/51CplY2fuPL.jpg,Sandra L. Johnson,sains-tech
Advanced Digital Black & White Photography,,1454704195,,0,Arts & Photography,,,1454704195.jpg,http://ecx.images-amazon.com/images/I/51LARB-cAbL.jpg,John Beardsworth,general
"Slow Cooker Recipes: 49 The Best Slow Cooker Recipes For Stews, Casseroles, Soups, Desserts And More-Favourite Crockpot Recipes Guaranteed To Keep You ... Slow Cooker Low Carb, Crockpot Recipes)",,1511727071,,7,"Cookbooks, Food & Wine",,,1511727071.jpg,http://ecx.images-amazon.com/images/I/51oByt1uEiL.jpg,Marie Richler,general
Cesar Chavez: A Hero for Everyone (Milestone),,689859228,,4,Children's Books,,,0689859228.jpg,http://ecx.images-amazon.com/images/I/51oUEU9JONL.jpg,Gary Soto,general
"Precinct 69, vol.1 (District 69)",,1561639206,,5,Comics & Graphic Novels,,,1561639206.jpg,http://ecx.images-amazon.com/images/I/51HB5isjZuL.jpg,Carlos Jimenez,general
Signing at School (Beginning Sign Language Series) (Signed English),,931993474,,20,Reference,,,0931993474.jpg,http://ecx.images-amazon.com/images/I/51w70VoRa7L.jpg,S. Harold Collins,general
Prophetic Charisma: The Psychology of Revolutionary Religious Personalities,,815603983,,9,Christian Books & Bibles,,,0815603983.jpg,http://ecx.images-amazon.com/images/I/41mJcpobamL.jpg,Len Oakes,sains-tech
Search Engine Optimization All-in-One For Dummies,,1118921755,,6,Computers & Technology,,,1118921755.jpg,http://ecx.images-amazon.com/images/I/51W77bEx%2BUL.jpg,Bruce Clay,sains-tech
Computational Organic Chemistry,,1118291921,,23,Science & Math,,,1118291921.jpg,http://ecx.images-amazon.com/images/I/513UMsQpPTL.jpg,Steven M. Bachrach,sains-tech
The Hand-Carved Marionettes of Gustave Baumann: Share Their World,,890134863,,8,"Crafts, Hobbies & Home",,,0890134863.jpg,http://ecx.images-amazon.com/images/I/21dd3l0SDlL.jpg,Ellen Zieselman,general
Basic Cruising: The National Standard for Quality Sailing Instruction (Certification (U.S. Sailing)),,193891502X,,26,Sports & Outdoors,,,193891502X.jpg,http://ecx.images-amazon.com/images/I/514zxxYGy4L.jpg,,general
She: Understanding Feminine Psychology,,60963972,,16,Medical Books,,,0060963972.jpg,http://ecx.images-amazon.com/images/I/51C5Tl5glpL.jpg,Robert A. Johnson,sains-tech
"Complete Candida Yeast Guidebook, Revised 2nd Edition: Everything You Need to Know About Prevention, Treatment & Diet",,761527400,,11,"Health, Fitness & Dieting",,,0761527400.jpg,http://ecx.images-amazon.com/images/I/51%2Bqsx5clKL.jpg,Jeanne Marie Martin,general
"Tillie the Terrible Swede: How One Woman, a Sewing Needle, and a Bicycle Changed History",,375844422,,4,Children's Books,,,0375844422.jpg,http://ecx.images-amazon.com/images/I/51CXUD9C8bL.jpg,Sue Stauffacher,social-humanaria
The Economics of Inequality,,674504801,,2,Business & Money,,,0674504801.jpg,http://ecx.images-amazon.com/images/I/41W9ELABmwL.jpg,Thomas Piketty,social-humanaria
"Moleskine Classic Notebook, Pocket, Plain, Black, Hard Cover (3.5 x 5.5) (Classic Notebooks)",,8883701038,,29,Travel,,,8883701038.jpg,http://ecx.images-amazon.com/images/I/313PNPGeg%2BL.jpg,Moleskine,general
"Northward over the ""great ice"": a narrative of life and work along the shores and upon the interior ice-cap of northern Greenland in the years 1886 ... Eskimos, the most northerly human bei",,1177769603,,12,History,,,1177769603.jpg,http://ecx.images-amazon.com/images/I/518AN19Du-L.jpg,Robert E. 1856-1920 Peary,social-humanaria
Traffick,,1442482877,,27,Teen & Young Adult,,,1442482877.jpg,http://ecx.images-amazon.com/images/I/61Vb%2BRplYqL.jpg,Ellen Hopkins,general
Uncle Vanya,,802131514,,15,Literature & Fiction,,,0802131514.jpg,http://ecx.images-amazon.com/images/I/414DlY2PmSL.jpg,Anton Chekhov,general
Steve Jobs: Genius by Design: Campfire Biography-Heroes Line (Campfire Graphic Novels),,9380028768,,4,Children's Books,,,9380028768.jpg,http://ecx.images-amazon.com/images/I/41%2Bnl4uLfzL.jpg,Jason Quinn,social-humanaria
2016 Cowboys Wall Calendar,,1623436761,,3,Calendars,,,1623436761.jpg,http://ecx.images-amazon.com/images/I/51bBEaxIk4L.jpg,Willow Creek Press,general
The Holy Spirit,,849900050,,21,Religion & Spirituality,,,0849900050.jpg,http://ecx.images-amazon.com/images/I/51AJ8eqWtML.jpg,Billy Graham,general
Social Policy for an Aging Society: A Human Rights Perspective,,826196535,,19,Politics & Social Sciences,,,0826196535.jpg,http://ecx.images-amazon.com/images/I/51m-U8zosfL.jpg,Carole B. Cox PhD,social-humanaria
Tripping Over the Truth: The Return of the Metabolic Theory of Cancer Illuminates a New and Hopeful Path to a Cure,,1500600318,,11,"Health, Fitness & Dieting",,,1500600318.jpg,http://ecx.images-amazon.com/images/I/419kOCCtp6L.jpg,Travis Christofferson,sains-tech
"Lonely Planet South Africa, Lesotho and Swaziland",,864421583,,29,Travel,,,0864421583.jpg,http://ecx.images-amazon.com/images/I/51KtjrtNHaL.jpg,Richard Everist,general
Inside the Yield Book: The Classic That Created the Science of Bond Analysis,,111839013X,,2,Business & Money,,,111839013X.jpg,http://ecx.images-amazon.com/images/I/51h9vhltRxL.jpg,Martin L. Leibowitz,sains-tech
Detecting the Bomb: The Role of Seismology in the Cold War,,981865437,,23,Science & Math,,,0981865437.jpg,http://ecx.images-amazon.com/images/I/519QBMSTP2L.jpg,Carl Romney,social-humanaria
I Wear the Black Hat: Grappling with Villains (Real and Imagined),,143918450X,,13,Humor & Entertainment,,,143918450X.jpg,http://ecx.images-amazon.com/images/I/510-1xlgWAL.jpg,Chuck Klosterman,general
Unto the Least of These: Expressing God's Love to Widows and the Fatherless,,800793447,,9,Christian Books & Bibles,,,0800793447.jpg,http://ecx.images-amazon.com/images/I/41PJCX84BNL.jpg,Nathan Shaw,general
Buried Secrets: A Novel (Men of Valor),,800721268,,22,Romance,,,0800721268.jpg,http://ecx.images-amazon.com/images/I/51-kE9rh4HL.jpg,Irene Hannon,general
"Eat Mexico: Recipes from Mexico City's Streets, Markets & Fondas",,1909487279,,7,"Cookbooks, Food & Wine",,,1909487279.jpg,http://ecx.images-amazon.com/images/I/51MmeJkG5ZL.jpg,Lesley Téllez,social-humanaria
"Central and Eastern European Cities: Vienna, Salzburg, Prague, Budapest, Warsaw and Krakow (City Breaks)",,1872876617,,29,Travel,,,1872876617.jpg,http://ecx.images-amazon.com/images/I/41LsuP2B-EL.jpg,Reg Butler,social-humanaria
The Politics of Deregulation,,815718179,,14,Law,,,0815718179.jpg,http://ecx.images-amazon.com/images/I/518DDK5BKYL.jpg,Martha Derthick,social-humanaria
Reef and Shore Fishes of the South Pacific: New Caledonia to Tahiti and the Pitcairn Islands,,824826981,,26,Sports & Outdoors,,,0824826981.jpg,http://ecx.images-amazon.com/images/I/512DGPR9ZXL.jpg,John E. Randall,general
How to Speak Tech: The Non-Techie's Guide to Technology Basics in Business,,1430266104,,6,Computers & Technology,,,1430266104.jpg,http://ecx.images-amazon.com/images/I/51j%2BTHBQjNL.jpg,Vinay Trivedi,sains-tech
Oral Complications of Cancer Chemotherapy (Developments in Oncology),,9024727863,,16,Medical Books,,,9024727863.jpg,http://ecx.images-amazon.com/images/I/31FRV9ZQ7KL.jpg,,sains-tech
Interior Landmarks: Treasures of New York,,1580934226,,8,"Crafts, Hobbies & Home",,,1580934226.jpg,http://ecx.images-amazon.com/images/I/61W1dQbeyzL.jpg,Judith Gura,general
"The Caregiver: A Life With Alzheimer's, with new material (The Culture and Politics of Health Care Work)",,B008W3F0RK,,11,"Health, Fitness & Dieting",,,B008W3F0RK.jpg,http://ecx.images-amazon.com/images/I/51EBmVSvErL.jpg,Aaron Alterra,sains-tech
Wonderful Ways to be a Stepparent,,1573241474,,18,Parenting & Relationships,,,1573241474.jpg,http://ecx.images-amazon.com/images/I/51y5-bYEBUL.jpg,,general
A Sacred LandscapeThe Search for Ancient Peru,,1590200586,,29,Travel,,,1590200586.jpg,http://ecx.images-amazon.com/images/I/41UKGcepaOL.jpg,Hugh Thomson,general
Tough As They Come,,110190478X,,1,Biographies & Memoirs,,,110190478X.jpg,http://ecx.images-amazon.com/images/I/516bPnvtg0L.jpg,Travis Mills,general
Fables Covers: The Art of James Jean (New Edition),,1401252818,,5,Comics & Graphic Novels,,,1401252818.jpg,http://ecx.images-amazon.com/images/I/51mxIkQFAqL.jpg,James Jean,social-humanaria
"Dragon Rises, Red Bird Flies: Psychology & Chinese Medicine (Revised Edition)",,939616475,,16,Medical Books,,,0939616475.jpg,http://ecx.images-amazon.com/images/I/51GFQJH9JGL.jpg,Leon I. Hammer,sains-tech
Dream Big: Michael Jordan and the Pursuit of Excellence,,1442412704,,4,Children's Books,,,1442412704.jpg,http://ecx.images-amazon.com/images/I/51EzqS6khTL.jpg,Deloris Jordan,general
Young Hollywood,,1614282463,,0,Arts & Photography,,,1614282463.jpg,http://ecx.images-amazon.com/images/I/51rnBhwSssL.jpg,Claiborne Swanson Frank,general
A Collection of Documents of Spitzbergen & Greenland,,1146451555,,12,History,,,1146451555.jpg,http://ecx.images-amazon.com/images/I/51%2BBvXlwTWL.jpg,Friedrich Martens,general
"Simply Christmas: Easy Dramas, Speeches, and Recitations for Children",,687046742,,15,Literature & Fiction,,,0687046742.jpg,http://ecx.images-amazon.com/images/I/61xMT4UY9-L.jpg,Peggy Augustine,general
The Lightning Dreamer: Cuba's Greatest Abolitionist,,054454112X,,27,Teen & Young Adult,,,054454112X.jpg,http://ecx.images-amazon.com/images/I/519a6btUx0L.jpg,Margarita Engle,general
Cook's Big Day: An Angie Amalfi Mystery (The Angie Amalfi Mysteries) (Volume 16),,692529780,,17,"Mystery, Thriller & Suspense",,,0692529780.jpg,http://ecx.images-amazon.com/images/I/51W2%2B01mkVL.jpg,Joanne Pence,general
Bones of St. Peter,,1933184752,,9,Christian Books & Bibles,,,1933184752.jpg,http://ecx.images-amazon.com/images/I/51VU7xMAYUL.jpg,John Evangelist Walsh,general
Lighting The Way,,1559392282,,21,Religion & Spirituality,,,1559392282.jpg,http://ecx.images-amazon.com/images/I/61bHFja0mdL.jpg,Dalai Lama,general
The Boulder Statements on Legal Research Education,,837738733,,14,Law,,,0837738733.jpg,http://ecx.images-amazon.com/images/I/31GThgEbmJL.jpg,Susan Nevelow Mart,general
Stretch and Strengthen for Rehabilitation and Development,,960106626,,11,"Health, Fitness & Dieting",,,0960106626.jpg,http://ecx.images-amazon.com/images/I/51VYXZ9G56L.jpg,Bob Anderson,sains-tech
"Katzung & Trevor's Pharmacology Examination and Board Review,10th Edition (Katzung & Trevor's Pharmacology Examination & Board Review)",,71789235,,16,Medical Books,,,0071789235.jpg,http://ecx.images-amazon.com/images/I/51reAVVSL6L.jpg,Anthony Trevor,general
Advanced Mechanics of Materials,,471438812,,23,Science & Math,,,0471438812.jpg,http://ecx.images-amazon.com/images/I/51olR4o1RLL.jpg,Arthur P. Boresi,general
The Park is Open (Jurassic World) (Pictureback(R)),,553536923,,4,Children's Books,,,0553536923.jpg,http://ecx.images-amazon.com/images/I/61UC3RkPfXL.jpg,Dennis R. Shealy,general
CCNA Collaboration Official Cert Guide Library (Exams CICD 210-060 and CIVND 210-065),,1587144441,,6,Computers & Technology,,,1587144441.jpg,http://ecx.images-amazon.com/images/I/51PcUkzGMJL.jpg,Michael Valentine,general
"CNC Programming Handbook, Third Edition",,831133473,,10,Engineering & Transportation,,,0831133473.jpg,http://ecx.images-amazon.com/images/I/51KaDIbn5EL.jpg,Peter Smid,sains-tech
Quebec City Map,,1927391202,,29,Travel,,,1927391202.jpg,http://ecx.images-amazon.com/images/I/51a17rXdN0L.jpg,Route Master,general
"McGraw-Hill's ASVAB, 3rd Edition: Strategies + 4 Practice Tests",,71809201,,28,Test Preparation,,,0071809201.jpg,http://ecx.images-amazon.com/images/I/51GXk1N017L.jpg,Dr. Janet Wall,general
Corresponding With History: The Art & Benefits of Collecting Autographs,,882801309,,8,"Crafts, Hobbies & Home",,,0882801309.jpg,http://ecx.images-amazon.com/images/I/51LeFMQoksL.jpg,"John E., II Schlimm",social-humanaria
Food Processor Baking Magic,,803823681,,7,"Cookbooks, Food & Wine",,,0803823681.jpg,http://ecx.images-amazon.com/images/I/41hLYjvBxRL.jpg,Mary Moon Hemingway,general
The Road to Reinvention: How to Drive Disruption and Accelerate Transformation,,470923431,,2,Business & Money,,,0470923431.jpg,http://ecx.images-amazon.com/images/I/51iUQh88-4L.jpg,Josh Linkner,general
The Story of Layla & Majnun,,930872525,,15,Literature & Fiction,,,0930872525.jpg,http://ecx.images-amazon.com/images/I/51JG8TSYRBL.jpg,Nizami,general
"That's Not English: Britishisms, Americanisms, and What Our English Says About Us",,1592408850,,19,Politics & Social Sciences,,,1592408850.jpg,http://ecx.images-amazon.com/images/I/41fomd-R2iL.jpg,Erin Moore,general
Otto Von Bismarck: Iron Chancellor of Germany (Wicked History),,531212785,,27,Teen & Young Adult,,,0531212785.jpg,http://ecx.images-amazon.com/images/I/51XzLVbMp9L.jpg,Kimberly Burton Heuston,social-humanaria
Feminist Philosophy And Science Fiction: Utopias And Dystopias,,1591024145,,24,Science Fiction & Fantasy,,,1591024145.jpg,http://ecx.images-amazon.com/images/I/51OTsxbPVIL.jpg,,social-humanaria
"Healthy Joints for Life: An Orthopedic Surgeon's Proven Plan to Reduce Pain and Inflammation, Avoid Surgery and Get Moving Again",,373892705,,11,"Health, Fitness & Dieting",,,0373892705.jpg,http://ecx.images-amazon.com/images/I/51iYGhNPE6L.jpg,Richard Diana,sains-tech
Cheap Bastard's® Guide to Los Angeles: Secrets Of Living The Good Life--For Less!,,762760036,,29,Travel,,,0762760036.jpg,http://ecx.images-amazon.com/images/I/51KIpdFRyUL.jpg,Ashley Wren Collins,general
"New Day, New You: 366 Devotions for Enjoying Everyday Life",,044658195X,,21,Religion & Spirituality,,,044658195X.jpg,http://ecx.images-amazon.com/images/I/41I7eXIZydL.jpg,Joyce Meyer,general
Light Intervention: Lessons from Bougainville (Perspectives (United States Institute of Peace Press)),,1601270615,,12,History,,,1601270615.jpg,http://ecx.images-amazon.com/images/I/51w9e0FvdWL.jpg,Anthony Regan,general
"Seven Up (Stephanie Plum, No. 7) (Stephanie Plum Novels)",,312980140,,22,Romance,,,0312980140.jpg,http://ecx.images-amazon.com/images/I/516F2zuCyyL.jpg,Janet Evanovich,general
Dragsters (Wild Rides!),,736809260,,4,Children's Books,,,0736809260.jpg,http://ecx.images-amazon.com/images/I/31mbSS7oobL.jpg,Kathleen W. Deady,general
Gerontology For The Health Care Professional,,1284038874,,25,Self-Help,,,1284038874.jpg,http://ecx.images-amazon.com/images/I/51D5xgw9s9L.jpg,Regula H. Robnett,sains-tech
Seven Minutes: The Life and Death of the American Animated Cartoon,,860913961,,13,Humor & Entertainment,,,0860913961.jpg,http://ecx.images-amazon.com/images/I/51cts1P65dL.jpg,Norman M. Klein,social-humanaria
The Case Manager's Handbook,,1284033600,,16,Medical Books,,,1284033600.jpg,http://ecx.images-amazon.com/images/I/51RomJzbhTL.jpg,Catherine Mullahy,social-humanaria
A Mouth Full of Fire: The Word of God in the Words of Jeremiah (New Studies in Biblical Theology),,830826300,,9,Christian Books & Bibles,,,0830826300.jpg,http://ecx.images-amazon.com/images/I/41TsLvFnmrL.jpg,Andrew G. Shead,general
Bioinstrumentation (Synthesis Lectures on Biomedical Engineering Synthesis Lectu),,1598291327,,23,Science & Math,,,1598291327.jpg,http://ecx.images-amazon.com/images/I/41NF40NEA4L.jpg,John D. Enderle,sains-tech
The Real Crash: America's Coming Bankruptcy - How to Save Yourself and Your Country,,1250046564,,2,Business & Money,,,1250046564.jpg,http://ecx.images-amazon.com/images/I/51pu9B624mL.jpg,Peter D. Schiff,general
Queen: The Complete Illustrated Lyrics,,1617130133,,20,Reference,,,1617130133.jpg,http://ecx.images-amazon.com/images/I/51CpD71f15L.jpg,Queen,general
Choices (Cole),,751514748,,15,Literature & Fiction,,,0751514748.jpg,http://ecx.images-amazon.com/images/I/51Y1NxjTA0L.jpg,Noah Gordon,general
"Streetwise Buenos Aires Map - Laminated City Center Street Map of Buenos Aires, Argentina",,1931257361,,29,Travel,,,1931257361.jpg,http://ecx.images-amazon.com/images/I/51exIDwq06L.jpg,Streetwise Maps,general
Posters for FNAF: Unofficial Book of Mini Posters for Five Nights at Freddy's,,1514628740,,0,Arts & Photography,,,1514628740.jpg,http://ecx.images-amazon.com/images/I/51GqktUXioL.jpg,Survival Press,general
Teen Dream Power: Unlock the Meaning of Your Dreams,,892810866,,27,Teen & Young Adult,,,0892810866.jpg,http://ecx.images-amazon.com/images/I/51lhnpFhIUL.jpg,M. J. Abadie,general
"Safeguarding African customary law: Judicial and legislative processes for its adaptation and integration (African Studies Center, University of California, Los Angeles. Occasional paper no. 7)",,B0006CB1YQ,,14,Law,,,B0006CB1YQ.jpg,http://ecx.images-amazon.com/images/I/41k5bobb9qL.jpg,Thierry G Verhelst,social-humanaria
Long Distance: Testing the Limits of Body and Spirit in a Year of Living Strenuously,,1605291242,,26,Sports & Outdoors,,,1605291242.jpg,http://ecx.images-amazon.com/images/I/51FrAEqSc5L.jpg,Bill McKibben,general
The Back Book (A Johns Hopkins Press Health Book),,801890438,,11,"Health, Fitness & Dieting",,,0801890438.jpg,http://ecx.images-amazon.com/images/I/51fOUHlhKZL.jpg,Ziya L. Gokaslan,sains-tech
J. J. Watt (Amazing Athletes),,146774493X,,4,Children's Books,,,146774493X.jpg,http://ecx.images-amazon.com/images/I/51TucC9ZStL.jpg,Jon M. Fishman,general
Colloquial Lithuanian: The Complete Course for Beginners (Colloquial Series),,415121043,,29,Travel,,,0415121043.jpg,http://ecx.images-amazon.com/images/I/41NTG5S2PRL.jpg,Meilute Ramoniene,general
Pre-Commerce: How Companies and Customers are Transforming Business Together,,470928441,,6,Computers & Technology,,,0470928441.jpg,http://ecx.images-amazon.com/images/I/515G1V4hL%2BL.jpg,Bob Pearson,social-humanaria
Interrogating Inclusive Growth: Poverty and Inequality in India,,1138795658,,2,Business & Money,,,1138795658.jpg,http://ecx.images-amazon.com/images/I/51of5qqEItL.jpg,K. P. Kannan,general
"Democracy--The God That Failed: The Economics and Politics of Monarchy, Democracy, and Natural Order (Perspectives on Democratic Practice)",,765808684,,12,History,,,0765808684.jpg,http://ecx.images-amazon.com/images/I/41umok67s0L.jpg,Hans-Hermann Hoppe,social-humanaria
Wedding Planner Cost: Wedding Budget Planner,,1502773120,,8,"Crafts, Hobbies & Home",,,1502773120.jpg,http://ecx.images-amazon.com/images/I/51ATAHF32uL.jpg,Frances P Robinson,general
Hard-Boiled Wonderland and the End of the World: A Novel (Vintage International),,679743464,,24,Science Fiction & Fantasy,,,0679743464.jpg,http://ecx.images-amazon.com/images/I/51MDi%2BcFRML.jpg,Haruki Murakami,general
Last Rights?: Assisted Suicide and Euthanasia Debated,,802841996,,16,Medical Books,,,0802841996.jpg,http://ecx.images-amazon.com/images/I/41MGVQE924L.jpg,D. C.) Ethics and Public Policy Center (Washington,general
DIEUX DU STADE CALENDRIER 2016,,2918504068,,3,Calendars,,,2918504068.jpg,http://ecx.images-amazon.com/images/I/51xGyjWKbqL.jpg,,general
Veganomicon: The Ultimate Vegan Cookbook,,156924264X,,7,"Cookbooks, Food & Wine",,,156924264X.jpg,http://ecx.images-amazon.com/images/I/514NtkAKwKL.jpg,Isa Chandra Moskowitz,general
Field Theories of Condensed Matter Physics,,521764440,,23,Science & Math,,,0521764440.jpg,http://ecx.images-amazon.com/images/I/41%2BVVsaqfEL.jpg,Eduardo Fradkin,sains-tech
Transportation,,1908985348,,4,Children's Books,,,1908985348.jpg,http://ecx.images-amazon.com/images/I/51VJOKuRVTL.jpg,Alain Grée,general
"Yellowstone: Near, Far and Wild",,1591521300,,29,Travel,,,1591521300.jpg,http://ecx.images-amazon.com/images/I/51aJ2N4HffL.jpg,David Peterson,general
The Coldest City,,1934964530,,5,Comics & Graphic Novels,,,1934964530.jpg,http://ecx.images-amazon.com/images/I/51RIOqu1ZrL.jpg,Antony Johnston,general
"What Your Doctor May Not Tell You About(TM) IBS: Eliminate Your Symptoms and Live a Pain-free, Drug-free Life",,446690910,,11,"Health, Fitness & Dieting",,,0446690910.jpg,http://ecx.images-amazon.com/images/I/41KLPx-hNoL.jpg,Richard N. Ash,general
"Broken Columns: Two Roman Epic Fragments: ""The Achilleid"" of Publius Papinius Statius and ""The Rape of Proserpine"" of Claudius Claudianus",,081221630X,,15,Literature & Fiction,,,081221630X.jpg,http://ecx.images-amazon.com/images/I/515XF7NF9VL.jpg,,general
"GERMANY, AUSTRIA § SWITZERLAND, INCLUDING CZECHOSLOVAKIA, POLAND, HUNGARY AND LIECHTENSTEIN, AAA, MAP EDITION 1983, SCALE :ONE INCH EQUALS 24 MILES",,B007A7YB1U,,29,Travel,,,B007A7YB1U.jpg,http://ecx.images-amazon.com/images/I/51cvgniKxuL.jpg,,general
Lucky Every Day: 20 Unforgettable Lessons from a Coach Who Made a Difference,,446500135,,26,Sports & Outdoors,,,0446500135.jpg,http://ecx.images-amazon.com/images/I/51cvd74RrTL.jpg,Chip Silverman,general
Integral Spirituality: A Startling New Role for Religion in the Modern and Postmodern World,,1590305272,,21,Religion & Spirituality,,,1590305272.jpg,http://ecx.images-amazon.com/images/I/51q055CTdGL.jpg,Ken Wilber,social-humanaria
Business Planning: Financing the Start-Up Business and Venture Capital (Aspen Casebooks),,1454837683,,2,Business & Money,,,1454837683.jpg,http://ecx.images-amazon.com/images/I/41UC6FlBDSL.jpg,Therese Maynard,social-humanaria
Anything He Wants,,1250035333,,22,Romance,,,1250035333.jpg,http://ecx.images-amazon.com/images/I/41D5ANYCvKL.jpg,Sara Fawkes,general
The Living God and the Fullness of Life,,664261612,,9,Christian Books & Bibles,,,0664261612.jpg,http://ecx.images-amazon.com/images/I/41ad8OqDlPL.jpg,Jürgen Moltmann,general
The Prophet (Vintage International),,1101970782,,19,Politics & Social Sciences,,,1101970782.jpg,http://ecx.images-amazon.com/images/I/41Hy7plPSwL.jpg,Kahlil Gibran,general
Combating Cardiovascular Diseases Skillfully (Nursing Skillbook),,B00192KZ3K,,16,Medical Books,,,B00192KZ3K.jpg,http://ecx.images-amazon.com/images/I/51z6XoGgNQL.jpg,Editor: Helen Hamilton,sains-tech
Parry and Kerridge: The Law of Succession,,421959304,,14,Law,,,0421959304.jpg,http://ecx.images-amazon.com/images/I/51hV8ENHx6L.jpg,R. Kerridge,social-humanaria
MILLER LEVINE BIOLOGY 2010 STUDY WORKBOOK A GRADE 9/10,,013368718X,,28,Test Preparation,,,013368718X.jpg,http://ecx.images-amazon.com/images/I/51wPEIimdHL.jpg,PRENTICE HALL,general
Nevis: Queen of the Caribees (Caribbean Guides Series),,333389387,,29,Travel,,,0333389387.jpg,http://ecx.images-amazon.com/images/I/41410NEPa0L.jpg,Joyce Gordon,general
Shin Megami Tensei IV: Official Artworks,,1927925584,,0,Arts & Photography,,,1927925584.jpg,http://ecx.images-amazon.com/images/I/51B7UxmwsqL.jpg,,social-humanaria
Minecraft For Dummies,,1118968239,,13,Humor & Entertainment,,,1118968239.jpg,http://ecx.images-amazon.com/images/I/51Kplll4qqL.jpg,Jesse Stay,sains-tech
"Encyclopedia Of Mosaic Techniques: A Step-by-step Visual Directory, With An Inspirational Gallery Of Finished Works (Encyclopedia of Art Techniques)",,762404442,,8,"Crafts, Hobbies & Home",,,0762404442.jpg,http://ecx.images-amazon.com/images/I/61XzfUnhmwL.jpg,Emma Biggs,social-humanaria
